"Date","APPL","NASDAQ","WTI","Gold","Copper","TNYR","DXY","CQQQ","CAC40"
2015-06-05,29.492859,5068.459961,59.130001,1167.800049,2.722,2.402,96.309998,40.542973,4920.740234
2015-06-08,29.298,5021.629883,58.139999,1173.199951,2.716,2.381,95.300003,40.014236,4857.660156
2015-06-09,29.210886,5013.870117,60.139999,1177.300049,2.7405,2.417,95.169998,39.051178,4850.220215
2015-06-10,29.545589,5076.689941,61.43,1186.099976,2.7715,2.478,94.650002,39.211685,4934.910156
2015-06-11,29.479107,5082.509766,60.77,1179.900024,2.693,2.383,94.980003,39.608242,4971.370117
2015-06-12,29.153574,5051.100098,59.959999,1178.800049,2.6995,2.385,94.970001,40.354141,4901.189941
2015-06-15,29.096258,5029.970215,59.52,1185.300049,2.659,2.358,94.809998,39.032291,4815.359863
2015-06-16,29.252151,5055.549805,59.970001,1180.5,2.6265,2.318,95,38.909546,4839.859863
2015-06-17,29.18338,5064.879883,59.919998,1176.400024,2.623,2.306,94.300003,39.523262,4790.620117
2015-06-18,29.316339,5132.950195,60.450001,1201.5,2.6285,2.351,94.040001,39.910378,4803.47998
2015-06-19,29.022902,5117,59.610001,1201.5,2.592,2.267,94.089996,39.003967,4815.370117
2015-06-22,29.25444,5153.970215,59.68,1183.699951,2.588,2.36,94.330002,38.985077,4998.609863
2015-06-23,29.121477,5160.089844,61.009998,1176.199951,2.634,2.409,95.43,39.863163,5057.680176
2015-06-24,29.36907,5122.410156,60.27,1172.599976,2.6465,2.371,95.260002,40.070885,5045.350098
2015-06-25,29.229227,5112.189941,59.700001,1171.5,2.6455,2.393,95.190002,39.098385,5041.709961
2015-06-26,29.057289,5080.509766,59.630001,1172.900024,2.645,2.476,95.470001,38.38081,5059.169922
2015-06-29,28.548355,4958.470215,58.330002,1178.5,2.6385,2.331,94.790001,36.492455,4869.819824
2015-06-30,28.754684,4986.870117,59.470001,1171.5,2.6235,2.335,95.489998,37.493282,4790.200195
2015-07-01,29.022902,5013.120117,56.959999,1169,2.6355,2.418,96.309998,37.512169,4883.189941
2015-07-02,28.986221,5009.209961,56.93,1163,2.6345,2.393,96.110001,37.068401,4835.560059
2015-07-06,28.885355,4991.939941,52.529999,1172.900024,2.543,2.278,96.300003,33.433315,4711.540039
2015-07-07,28.814287,4997.459961,52.330002,1152.400024,2.451,2.231,96.870003,31.507196,4604.640137
2015-07-08,28.099026,4909.759766,51.650002,1163.300049,2.504,2.206,96.290001,30.364744,4639.02002
2015-07-09,27.525908,4922.399902,52.779999,1159,2.558,2.301,96.610001,33.291687,4757.220215
2015-07-10,28.261797,4997.700195,52.740002,1157.699951,2.5455,2.417,96.029999,34.424706,4903.069824
2015-07-13,28.807411,5071.509766,52.200001,1155.199951,2.5555,2.43,96.860001,35.038425,4998.100098
2015-07-14,28.795944,5104.890137,53.040001,1153.300049,2.5445,2.399,96.639999,35.170609,5032.470215
2015-07-15,29.073338,5098.939941,51.41,1147.199951,2.5305,2.35,97.129997,33.971504,5047.240234
2015-07-16,29.460768,5163.180176,50.91,1143.800049,2.5315,2.352,97.660004,34.745724,5121.5
2015-07-17,29.715235,5210.140137,50.889999,1131.800049,2.5045,2.349,97.860001,35.501068,5124.390137
2015-07-20,30.276894,5218.859863,50.150002,1106.699951,2.484,2.372,98.029999,35.397209,5142.490234
2015-07-21,29.974287,5208.120117,50.360001,1103.400024,2.4775,2.34,97.330002,35.529396,5106.569824
2015-07-22,28.706543,5171.77002,49.189999,1091.400024,2.4315,2.322,97.599998,35.217815,5082.569824
2015-07-23,28.692789,5146.410156,48.450001,1094,2.3855,2.277,97.120003,35.236698,5086.740234
2015-07-24,28.541479,5088.629883,48.139999,1085.599976,2.3815,2.271,97.239998,34.755169,5057.359863
2015-07-27,28.14488,5039.779785,47.389999,1096.5,2.3505,2.228,96.5,32.866806,4927.600098
2015-07-28,28.284719,5089.209961,47.98,1096.300049,2.403,2.25,96.769997,32.819603,4977.319824
2015-07-29,28.195309,5111.72998,48.790001,1092.699951,2.408,2.279,96.980003,33.102859,5017.439941
2015-07-30,28.053183,5128.779785,48.52,1088.400024,2.3815,2.268,97.559998,32.980114,5046.419922
2015-07-31,27.807886,5128.279785,47.119999,1094.900024,2.3675,2.205,97.370003,32.489143,5082.609863
2015-08-03,27.152231,5115.379883,45.169998,1089.400024,2.3475,2.15,97.489998,31.865984,5120.52002
2015-08-04,26.281086,5105.549805,45.740002,1090.699951,2.365,2.211,97.93,32.09259,5112.140137
2015-08-05,26.455313,5139.939941,45.150002,1085.699951,2.353,2.268,97.959999,32.564678,5196.72998
2015-08-06,26.512884,5056.439941,44.66,1090.199951,2.348,2.234,97.830002,32.319187,5192.109863
